track_id,cam_id,start_frame,end_frame,start_ms,end_ms,start_common_clock_ms,end_common_clock_ms,n_frames,class_mode,mean_conf,median_conf,median_w,median_h,max_area_px,pct_edge_touch,pct_blurry,n_large_box_frames,n_non_edge_frames,n_sharp_frames,duration_ms,usable_track,best_frame_idx,best_source_timestamp_ms,best_common_clock_ms
617,garage,5607,7448,187086.90000000002,248514.93333333335,187086.90000000002,248514.93333333335,1842,2,0.9427414156261924,0.9467986226081848,361.0,250.0,148629,0.0249728555917481,0.0010857763300760048,1830,1796,1840,61428.033333333326,True,6653,221988.43333333335,221988.43333333335
289,garage,2832,4515,94494.4,150650.5,94494.4,150650.5,1684,2,0.9221799886495654,0.9311144053936005,395.0,260.0,153594,0.035629453681710214,0.0,1667,1624,1684,56156.100000000006,True,4421,147514.03333333335,147514.03333333335
661,garage,6160,7678,205538.66666666666,256189.2666666667,205538.66666666666,256189.2666666667,1517,2,0.9312099644677295,0.9343428015708923,296.0,235.0,277296,0.025708635464733027,0.0006591957811470373,1499,1478,1516,50650.600000000035,True,7391,246613.03333333333,246613.03333333333
649,garage,6109,7549,203836.96666666667,251884.96666666667,203836.96666666667,251884.96666666667,1441,2,0.9503596116692387,0.958033561706543,384.0,275.0,220042,0.020818875780707843,0.004857737682165131,1427,1411,1434,48048.0,True,6176,206072.53333333335,206072.53333333335
666,garage,6270,7671,209209.0,255955.7,209209.0,255955.7,1402,2,0.8733593321560793,0.8667181432247162,262.0,181.0,186912,0.028530670470756064,0.002139800285306692,1379,1362,1399,46746.70000000001,True,7523,251017.43333333335,251017.43333333335
343,garage,3579,4918,119419.3,164097.2666666667,119419.3,164097.2666666667,1336,2,0.9182890392616837,0.9336055219173431,320.0,226.0,230594,0.03592814371257485,0.0007485029940119681,1318,1288,1335,44677.96666666669,True,4292,143209.73333333334,143209.73333333334
1,garage,0,1205,0.0,40206.833333333336,0.0,40206.833333333336,1205,2,0.9428829361294315,0.9466797709465027,390.0,198.0,93955,0.044813278008298756,0.0,1205,1151,1205,40206.833333333336,True,2,66.73333333333333,66.73333333333333
327,garage,3393,4499,113213.1,150116.63333333333,113213.1,150116.63333333333,1107,2,0.9260582114353628,0.9316474795341492,330.0,217.0,173394,0.024390243902439025,0.0009033423667570428,1090,1080,1106,36903.533333333326,True,3863,128895.43333333333,128895.43333333333
689,garage,6459,7185,215515.3,239739.50000000003,215515.3,239739.50000000003,724,2,0.9244500116666378,0.9472461640834808,413.0,203.0,103282,0.08701657458563536,0.0,712,661,724,24224.20000000004,True,6616,220753.86666666667,220753.86666666667
13,garage,371,1090,12379.033333333335,36369.666666666664,12379.033333333335,36369.666666666664,719,2,0.9347244752298973,0.9455255270004272,394.0,279.0,262119,0.05702364394993046,0.0027816411682892728,703,678,717,23990.63333333333,True,464,15482.133333333333,15482.133333333333
367,garage,4256,4747,142008.53333333333,158391.56666666668,142008.53333333333,158391.56666666668,492,2,0.9078056808046209,0.926594078540802,235.0,163.0,152568,0.11585365853658537,0.0060975609756097615,467,435,489,16383.033333333355,True,4607,153720.23333333334,153720.23333333334
390,garage,4509,4992,150450.3,166566.40000000002,150450.3,166566.40000000002,484,2,0.9214600797527093,0.9381062686443329,364.5,227.0,206088,0.09504132231404959,0.0,484,438,484,16116.100000000035,True,4895,163329.83333333334,163329.83333333334
362,garage,4170,4597,139139.0,153386.56666666668,139139.0,153386.56666666668,428,2,0.9152147673140062,0.9378634095191956,329.0,209.0,157458,0.12850467289719625,0.007009345794392496,412,373,425,14247.56666666668,True,4289,143109.63333333333,143109.63333333333
39,garage,1082,1502,36102.73333333333,50116.73333333334,36102.73333333333,50116.73333333334,412,2,0.6863791687974652,0.7022812068462372,430.5,299.0,199500,0.17475728155339806,0.004854368932038833,412,340,410,14014.000000000007,True,1412,47113.73333333334,47113.73333333334
69,garage,1250,1637,41708.333333333336,54621.23333333334,41708.333333333336,54621.23333333334,388,2,0.9170675968232843,0.9416185021400452,262.0,175.0,138272,0.14432989690721648,0.0,370,332,388,12912.900000000001,True,1484,49516.13333333334,49516.13333333334
53,garage,1195,1574,39873.16666666667,52519.13333333334,39873.16666666667,52519.13333333334,380,2,0.901193411883555,0.9245647192001343,334.0,210.5,162240,0.16052631578947368,0.0026315789473684292,364,319,379,12645.966666666667,True,1307,43610.23333333333,43610.23333333333
89,garage,1347,1726,44944.9,57590.86666666667,44944.9,57590.86666666667,379,2,0.8744665381147239,0.9293822646141052,237.0,139.0,128694,0.09762532981530343,0.0026385224274406704,360,342,378,12645.966666666667,True,1667,55622.23333333334,55622.23333333334
371,garage,4320,4695,144144.0,156656.5,144144.0,156656.5,369,2,0.8999444484549163,0.9323109984397888,270.0,158.0,126503,0.1002710027100271,0.0027100271002710175,350,332,368,12512.5,True,4607,153720.23333333334,153720.23333333334
905,garage,8908,9269,297230.2666666667,309275.63333333336,297230.2666666667,309275.63333333336,361,2,0.9324040269257289,0.9522371292114258,360.0,210.0,84804,0.0221606648199446,0.0,347,353,361,12045.36666666664,True,9032,301367.73333333334,301367.73333333334
884,garage,8330,8685,277944.3333333334,289789.50000000006,277944.3333333334,289789.50000000006,356,2,0.9180114348785261,0.9414819180965424,323.0,226.0,107800,0.23595505617977527,0.014044943820224698,344,272,351,11845.166666666686,True,8459,282248.63333333336,282248.63333333336
54,garage,1195,1496,39873.16666666667,49916.53333333333,39873.16666666667,49916.53333333333,301,2,0.9133050525901325,0.9345055818557739,319.0,213.0,167680,0.10299003322259136,0.01661129568106312,285,270,296,10043.366666666661,True,1355,45211.833333333336,45211.833333333336
141,garage,1550,1827,51718.333333333336,60960.9,51718.333333333336,60960.9,261,2,0.8958727350865288,0.9345827102661133,239.0,165.0,149634,0.27586206896551724,0.003831417624521105,239,189,260,9242.566666666666,True,1741,58091.366666666676,58091.366666666676
79,garage,1323,1580,44144.1,52719.333333333336,44144.1,52719.333333333336,258,2,0.9142389259366102,0.9385708570480347,296.0,192.0,186527,0.10852713178294573,0.007751937984496138,238,230,256,8575.233333333337,True,1436,47914.53333333334,47914.53333333334
912,garage,9016,9269,300833.86666666664,309275.63333333336,300833.86666666664,309275.63333333336,253,2,0.9075004354767178,0.9383243918418884,278.0,160.0,61803,0.05138339920948617,0.0,234,240,253,8441.766666666721,True,9191,306673.0333333334,306673.0333333334
750,garage,7298,7530,243509.93333333335,251251.0,243509.93333333335,251251.0,233,2,0.8796227189348491,0.9182209968566895,274.0,153.0,120782,0.09871244635193133,0.0,233,210,233,7741.066666666651,True,7427,247814.23333333334,247814.23333333334
786,garage,7534,7752,251384.46666666667,258658.40000000002,251384.46666666667,258658.40000000002,218,2,0.8681914579430852,0.9189332723617554,242.5,133.0,115115,0.14220183486238533,0.01834862385321101,199,187,214,7273.933333333349,True,7682,256322.73333333337,256322.73333333337
217,garage,1934,2152,64531.13333333333,71805.06666666668,64531.13333333333,71805.06666666668,218,2,0.9037752897914396,0.9283449351787567,263.5,163.0,95400,0.3302752293577982,0.00917431192660545,206,146,216,7273.933333333349,True,2053,68501.76666666666,68501.76666666666
481,garage,5006,5222,167033.53333333333,174240.73333333334,167033.53333333333,174240.73333333334,217,2,0.9258645856710074,0.947627067565918,332.0,208.0,207788,0.15668202764976957,0.0,203,183,217,7207.200000000012,True,5102,170236.73333333334,170236.73333333334
830,garage,7746,7952,258458.20000000004,265331.73333333334,258458.20000000004,265331.73333333334,207,2,0.917447517891437,0.9415073990821838,309.0,222.0,218295,0.14492753623188406,0.01449275362318836,188,177,204,6873.5333333332965,True,7817,260827.23333333337,260827.23333333337
174,garage,1639,1841,54687.96666666667,61428.03333333334,54687.96666666667,61428.03333333334,203,2,0.9278640682474145,0.9480683207511902,347.0,250.0,251394,0.13793103448275862,0.009852216748768461,190,175,201,6740.066666666673,True,1694,56523.13333333333,56523.13333333333
778,garage,7497,7694,250149.9,256723.13333333336,250149.9,256723.13333333336,198,2,0.8795966030371309,0.9307498335838318,264.5,168.5,127775,0.09595959595959595,0.005050505050505083,198,179,197,6573.233333333366,True,7607,253820.23333333334,253820.23333333334
820,garage,7671,7868,255955.7,262528.93333333335,255955.7,262528.93333333335,193,2,0.8875064579625204,0.9276488423347473,278.0,173.0,156219,0.11398963730569948,0.015544041450777257,170,171,190,6573.233333333337,True,7832,261327.73333333337,261327.73333333337
764,garage,7440,7624,248248.00000000003,254387.46666666667,248248.00000000003,254387.46666666667,185,2,0.9001091208006885,0.937446117401123,278.0,175.0,127300,0.11891891891891893,0.010810810810810811,185,163,183,6139.466666666645,True,7575,252752.50000000003,252752.50000000003
872,garage,8047,8223,268501.5666666667,274374.1,268501.5666666667,274374.1,177,2,0.930039068736599,0.9515686631202698,357.0,261.0,254475,0.15819209039548024,0.02259887005649719,166,149,173,5872.533333333267,True,8090,269936.3333333333,269936.3333333333
130,garage,1511,1682,50417.03333333333,56122.73333333334,50417.03333333333,56122.73333333334,172,2,0.9178873439167821,0.9413940012454987,344.5,214.5,214842,0.12790697674418605,0.0,161,150,172,5705.700000000004,True,1637,54621.23333333334,54621.23333333334
357,garage,3913,4091,130563.76666666668,136503.03333333335,130563.76666666668,136503.03333333335,169,2,0.8188151766562602,0.8892746567726135,201.0,115.0,61710,0.3431952662721893,0.28402366863905326,151,111,121,5939.266666666677,True,3986,132999.53333333335,132999.53333333335
916,garage,9112,9269,304037.0666666667,309275.63333333336,304037.0666666667,309275.63333333336,157,2,0.8966468889622172,0.9389920830726624,222.0,139.0,44480,0.03184713375796178,0.0,139,152,157,5238.566666666651,True,9269,309275.63333333336,309275.63333333336
686,garage,6446,6598,215081.53333333333,220153.26666666666,215081.53333333333,220153.26666666666,148,2,0.7844254978605218,0.8496822714805603,190.5,127.5,63903,0.40540540540540543,0.08783783783783783,132,88,135,5071.733333333337,True,6491,216583.03333333333,216583.03333333333
467,garage,4937,5084,164731.23333333334,169636.13333333333,164731.23333333334,169636.13333333333,144,2,0.8184820802675353,0.8852777481079102,207.0,116.5,51810,0.3680555555555556,0.20138888888888884,128,91,115,4904.899999999994,True,4985,166332.83333333334,166332.83333333334
578,garage,5480,5621,182849.33333333334,187554.03333333333,182849.33333333334,187554.03333333333,139,2,0.7844011903666764,0.8349940180778503,206.0,128.0,45724,0.43884892086330934,0.1007194244604317,129,78,125,4704.6999999999825,True,5525,184350.83333333334,184350.83333333334
590,garage,5523,5664,184284.1,188988.8,184284.1,188988.8,138,2,0.806098274346711,0.8722929656505585,205.0,139.5,52460,0.463768115942029,0.05797101449275366,130,74,130,4704.6999999999825,True,5567,185752.23333333334,185752.23333333334
192,garage,1729,1864,57690.96666666667,62195.46666666667,57690.96666666667,62195.46666666667,136,2,0.9193671718239784,0.9434111416339874,308.0,230.5,192647,0.13970588235294118,0.007352941176470562,124,117,135,4504.5,True,1787,59626.23333333334,59626.23333333334
239,garage,2221,2355,74107.36666666667,78578.5,74107.36666666667,78578.5,133,2,0.8190843545852747,0.8814008235931396,183.0,126.0,53320,0.43609022556390975,0.03759398496240607,117,75,128,4471.133333333331,True,2255,75241.83333333333,75241.83333333333
654,garage,6130,6272,204537.66666666666,209275.73333333334,204537.66666666666,209275.73333333334,131,2,0.8169962522637753,0.8942355513572693,181.0,115.0,31440,0.3893129770992366,0.03053435114503822,113,80,127,4738.06666666668,True,6179,206172.63333333336,206172.63333333336
269,garage,2703,2836,90190.1,94627.86666666668,90190.1,94627.86666666668,129,2,0.8393961514613425,0.9039838910102844,203.0,112.0,55909,0.34108527131782945,0.22480620155038755,118,85,100,4437.766666666677,True,2747,91658.23333333334,91658.23333333334
630,garage,5721,5851,190890.7,195228.3666666667,190890.7,195228.3666666667,128,2,0.8187659822870046,0.8891740143299103,194.0,114.5,50796,0.3828125,0.1328125,114,79,111,4337.666666666686,True,5765,192358.83333333334,192358.83333333334
250,garage,2447,2575,81648.23333333334,85919.16666666667,81648.23333333334,85919.16666666667,125,2,0.8427704904079437,0.9034426808357239,184.0,118.0,50325,0.376,0.43200000000000005,112,78,71,4270.933333333334,True,2478,82682.6,82682.6
208,garage,1870,2002,62395.66666666667,66800.06666666667,62395.66666666667,66800.06666666667,125,2,0.8273050241470337,0.8975196480751038,198.0,114.0,35178,0.376,0.22399999999999998,112,78,97,4404.399999999994,True,1913,63830.43333333334,63830.43333333334
886,garage,8415,8541,280780.5,284984.7,280780.5,284984.7,123,2,0.8153596275705632,0.8914991617202759,209.0,116.0,53628,0.36585365853658536,0.24390243902439024,110,78,93,4204.200000000012,True,8456,282148.5333333333,282148.5333333333
310,garage,3125,3252,104270.83333333334,108508.40000000001,104270.83333333334,108508.40000000001,120,2,0.8364745264252027,0.9120651483535767,198.0,109.0,31218,0.425,0.14166666666666672,111,69,103,4237.566666666666,True,3152,105171.73333333334,105171.73333333334
275,garage,2767,2899,92325.56666666668,96729.96666666667,92325.56666666668,96729.96666666667,114,2,0.6270928641683177,0.6434725821018219,213.0,150.0,47564,0.47368421052631576,0.33333333333333337,105,60,76,4404.399999999994,True,2834,94561.13333333335,94561.13333333335
151,garage,1583,1701,52819.433333333334,56756.700000000004,52819.433333333334,56756.700000000004,113,2,0.7654332719017974,0.836517870426178,205.0,138.0,51100,0.40707964601769914,0.20353982300884954,108,67,90,3937.26666666667,True,1619,54020.63333333334,54020.63333333334
508,garage,5129,5247,171137.63333333336,175074.90000000002,171137.63333333336,175074.90000000002,113,2,0.8134015366039445,0.871163547039032,194.0,138.0,42828,0.4336283185840708,0.18584070796460173,105,64,92,3937.266666666663,True,5162,172238.73333333334,172238.73333333334
524,garage,5260,5383,175508.66666666666,179612.7666666667,175508.66666666666,179612.7666666667,112,2,0.8347725679299661,0.9035696685314178,209.0,112.0,52160,0.36607142857142855,0.1071428571428571,100,71,100,4104.100000000035,True,5300,176843.33333333334,176843.33333333334
67,garage,1233,1343,41141.1,44811.433333333334,41141.1,44811.433333333334,111,7,0.6169714699457357,0.6417734622955322,449.0,307.0,151040,0.0,0.0,111,111,111,3670.3333333333358,True,1250,41708.333333333336,41708.333333333336
527,garage,5317,5441,177410.56666666668,181548.03333333333,177410.56666666668,181548.03333333333,111,2,0.8373555060442504,0.9016858339309692,205.0,117.0,50348,0.36036036036036034,0.09909909909909909,100,71,100,4137.466666666645,True,5353,178611.7666666667,178611.7666666667
888,garage,8444,8549,281748.1333333333,285251.63333333336,281748.1333333333,285251.63333333336,106,2,0.9134749295014255,0.941432774066925,308.5,206.0,180230,0.1320754716981132,0.018867924528301883,95,92,104,3503.500000000058,True,8486,283149.5333333333,283149.5333333333
410,garage,4605,4706,153653.5,157023.53333333335,153653.5,157023.53333333335,99,2,0.8202848889008917,0.8781082630157471,201.0,113.0,32868,0.43434343434343436,0.0,92,56,99,3370.0333333333547,True,4637,154721.23333333334,154721.23333333334
871,garage,8040,8140,268268.0,271604.6666666667,268268.0,271604.6666666667,97,2,0.8174222489607703,0.8712565302848816,191.0,132.0,42237,0.4329896907216495,0.07216494845360821,87,55,90,3336.666666666686,True,8072,269335.73333333334,269335.73333333334
135,garage,1533,1622,51151.1,54120.73333333334,51151.1,54120.73333333334,88,2,0.8024887276644056,0.8680696785449982,179.0,111.5,27903,0.4318181818181818,0.045454545454545414,82,50,84,2969.6333333333387,True,1553,51818.43333333334,51818.43333333334
380,garage,4429,4510,147780.96666666667,150483.66666666666,147780.96666666667,150483.66666666666,82,2,0.866791704079,0.8857878744602203,81.5,130.0,19221,0.4024390243902439,0.0,52,49,82,2702.6999999999825,True,4476,149349.19999999998,149349.19999999998
754,garage,7363,7445,245678.7666666667,248414.83333333334,245678.7666666667,248414.83333333334,80,2,0.7605526048690081,0.794065922498703,104.5,102.0,69290,0.425,0.0,60,46,80,2736.066666666651,True,7431,247947.7,247947.7
704,garage,6528,6611,217817.6,220587.03333333335,217817.6,220587.03333333335,80,2,0.7700086802244186,0.8449160158634186,167.5,108.5,25125,0.4875,0.125,74,41,70,2769.433333333349,True,6545,218384.83333333334,218384.83333333334
737,garage,7231,7301,241274.36666666667,243610.03333333335,241274.36666666667,243610.03333333335,69,2,0.7713981754537942,0.8008376955986023,100.0,106.0,67938,0.391304347826087,0.0,52,42,69,2335.666666666686,True,7293,243343.10000000003,243343.10000000003
