track_id,image_used,Make,Model,Type,Color,error
617,track_00617_f006653_r1.jpg,Chevrolet,Captiva,SUV,Black,
289,track_00289_f004421_r1.jpg,Dodge,Grand Caravan,Van,White,
661,track_00661_f007391_r1.jpg,Toyota,Highlander,SUV,Gray,
649,track_00649_f006176_r1.jpg,Jeep,Grand Cherokee,SUV,Black,
666,track_00666_f007523_r1.jpg,Buick,Envision,SUV,White,
343,track_00343_f004292_r1.jpg,Mazda,CX-8,SUV,Black,
1,track_00001_f000002_r1.jpg,Honda,Civic,Sedan,White,
327,track_00327_f003863_r1.jpg,Kia,Rio,Sedan,White,
689,track_00689_f006616_r1.jpg,Cadillac,XT4,SUV,Silver,
13,track_00013_f000464_r1.jpg,Toyota,RAV4,SUV,Gray,
367,track_00367_f004607_r1.jpg,Hyundai,Accent,Sedan,Silver,
390,track_00390_f004895_r1.jpg,Buick,LaCrosse,Sedan,Black,
362,track_00362_f004289_r1.jpg,Mercedes-Benz,ML,SUV,Black,
39,track_00039_f001412_r1.jpg,Chevrolet,Express,Van,White,
69,track_00069_f001484_r1.jpg,Honda,CR-V,SUV,Gray,
53,track_00053_f001307_r1.jpg,Honda,Odyssey,Van,Blue,
89,track_00089_f001667_r1.jpg,Honda,Accord,Sedan,Silver,
371,track_00371_f004607_r1.jpg,Ford,Fusion,Sedan,Blue,
905,track_00905_f009032_r1.jpg,Nissan,Sentra,sedan,blue,
884,track_00884_f008459_r1.jpg,Volkswagen,Tiguan,SUV,Silver,
54,track_00054_f001355_r1.jpg,Mazda,3,Sedan,Gray,
141,track_00141_f001741_r1.jpg,Nissan,X-Trail,SUV,Silver,
79,track_00079_f001436_r1.jpg,Cadillac,XTS,Sedan,Gray,
912,track_00912_f009191_r1.jpg,Honda,Accord,Sedan,Silver,
750,track_00750_f007427_r1.jpg,Maserati,Levante,SUV,Maroon,
786,track_00786_f007682_r1.jpg,Honda,Accord,Sedan,Gray,
217,track_00217_f002053_r1.jpg,Hyundai,Sonata,sedan,gray,
481,track_00481_f005102_r1.jpg,Ford,Focus,Sedan,Black,
830,track_00830_f007817_r1.jpg,Toyota,Sienna,Van,Black,
174,track_00174_f001694_r1.jpg,Toyota,RAV4,SUV,Black,
778,track_00778_f007607_r1.jpg,Mazda,Mazda6,Sedan,Blue,
820,track_00820_f007832_r1.jpg,Maserati,GranTurismo,Coupe,White,
764,track_00764_f007575_r1.jpg,Chevrolet,Malibu,Sedan,Blue,
872,track_00872_f008090_r1.jpg,Chevrolet,Equinox,SUV,Gray,
130,track_00130_f001637_r1.jpg,Kia,Ceed,Sedan,White,
357,track_00357_f003986_r1.jpg,Honda,Accord,Sedan,Black,
916,track_00916_f009269_r1.jpg,Lexus,ES,Sedan,Black,
686,track_00686_f006491_r1.jpg,Subaru,XV,SUV,Gray,
467,track_00467_f004985_r1.jpg,Nissan,Altima,Sedan,Gray,
